date,units,estimated_revenue,event_name,event_type,weekday,month,year,avg_selling_price,moving_average_28
2011-01-29,32631.0,81650.56491088867,None,None,Saturday,1,2011,2.50223912570527,32631.0
2011-01-30,31749.0,78970.52575683594,None,None,Sunday,1,2011,2.487338995144286,32190.0
2011-01-31,23783.0,57706.88798522949,None,None,Monday,1,2011,2.4263922963978257,29387.666666666668
2011-02-01,25412.0,60761.1764831543,None,None,Tuesday,2,2011,2.3910426760252754,28393.75
2011-02-02,19146.0,46959.93155002594,None,None,Wednesday,2,2011,2.452728065915906,26544.2
2011-02-03,29211.0,69377.35224914551,None,None,Thursday,2,2011,2.375042013253415,26988.666666666668
2011-02-04,28010.0,68789.02848815918,None,None,Friday,2,2011,2.4558739196058257,27134.571428571428
2011-02-05,37932.0,93447.69845581055,None,None,Saturday,2,2011,2.4635584323476363,28484.25
2011-02-06,32736.0,83497.51751708984,SuperBowl,Sporting,Sunday,2,2011,2.5506328664800173,28956.666666666668
2011-02-07,25572.0,65164.67088317871,None,None,Monday,2,2011,2.548282139964755,28618.2
2011-02-08,23071.0,60879.364837646484,None,None,Tuesday,2,2011,2.638783097292986,28113.909090909092
2011-02-09,23658.0,60408.66635131836,None,None,Wednesday,2,2011,2.553413912897048,27742.583333333332
2011-02-10,23756.0,62741.97236633301,None,None,Thursday,2,2011,2.6411000322585036,27435.923076923078
2011-02-11,26445.0,71984.07696533203,None,None,Friday,2,2011,2.722029758568048,27365.14285714286
2011-02-12,34833.0,92584.85375976562,None,None,Saturday,2,2011,2.6579638205083005,27863.0
2011-02-13,36380.0,100763.77807617188,None,None,Sunday,2,2011,2.769757506216929,28395.3125
2011-02-14,21804.0,59728.86827087402,ValentinesDay,Cultural,Monday,2,2011,2.7393537089925712,28007.58823529412
2011-02-15,24070.0,64278.28461456299,None,None,Tuesday,2,2011,2.6704729794168256,27788.833333333332
2011-02-16,21443.0,58985.56616973877,None,None,Wednesday,2,2011,2.7508075441747315,27454.842105263157
