event_name,event_type,days,avg_units,avg_revenue,normal_units,unit_lift
Chanukah End,Religious,5,33426.8,97047.37508850098,32859.645,0.017259955
Christmas,National,5,15.6,30.276000559329987,34505.508,-0.9995479
Cinco De Mayo,Cultural,5,34411.4,100445.88107910156,30467.252,0.12945533
ColumbusDay,National,5,35164.8,102005.58478698731,32859.645,0.07015157
Easter,Cultural,5,39517.6,114912.84369506835,41831.46,-0.055313826
Eid al-Fitr,Religious,5,35267.6,98843.14903259277,41689.676,-0.15404469
EidAlAdha,Religious,5,34504.0,98609.93555145264,30467.252,0.13249469
Father's day,Cultural,4,36562.0,100170.33910369873,41831.46,-0.12596887
Halloween,Cultural,5,30059.4,87379.87416992188,41689.676,-0.27897257
IndependenceDay,National,5,33710.8,91691.96464538574,41689.676,-0.1913873
LaborDay,National,5,42154.6,117817.01475524902,32859.645,0.2828685
LentStart,Religious,6,30727.0,88474.54479598999,30324.812,0.0132626295
LentWeek2,Religious,6,29747.0,85354.76810455322,30324.812,-0.019054115
MartinLutherKingDay,National,5,33378.6,98430.57164916993,32859.645,0.015793085
MemorialDay,National,5,32699.6,95653.51747436523,32859.645,-0.004870534
Mother's day,Cultural,6,36111.0,105773.08201344807,41831.46,-0.13675022
NBAFinalsEnd,Sporting,5,33564.2,93621.24141845704,30645.455,0.09524226
NBAFinalsStart,Sporting,5,31874.4,88339.13525390625,30467.252,0.046185613
NewYear,National,5,25768.4,74956.39799804687,34505.508,-0.25320905
OrthodoxChristmas,Religious,5,33344.2,94998.80503234864,30467.252,0.094427586
OrthodoxEaster,Religious,5,41228.0,123951.01997070313,41831.46,-0.014425993
Pesach End,Religious,6,36280.0,105853.86441802979,41689.676,-0.12976056
PresidentsDay,National,6,34446.332,100977.97262318929,32859.645,0.048286796
Purim End,Religious,6,35957.0,104491.41131591797,30467.252,0.1801852
Ramadan starts,Religious,5,34779.6,96548.1140625,30467.252,0.14154053
StPatricksDay,Cultural,6,33459.668,97376.13661448161,30467.252,0.09821749
SuperBowl,Sporting,6,40924.0,117171.17885335286,41831.46,-0.02169329
Thanksgiving,National,5,21130.0,58332.046018981935,30467.252,-0.3064685
ValentinesDay,Cultural,6,33495.668,97386.60450490315,41831.46,-0.1992709
VeteransDay,National,5,35118.8,100151.6383178711,30324.812,0.15808797
