date,actual_units,baseline_units,model_units
2016-04-25,38793.0,42272.242,41612.45
2016-04-26,35487.0,42272.242,41691.31
2016-04-27,34445.0,42272.242,41689.28
2016-04-28,34732.0,42272.242,41861.65
2016-04-29,42896.0,42272.242,42947.81
2016-04-30,50429.0,42272.242,44656.207
2016-05-01,53032.0,42272.242,44786.938
2016-05-02,43181.0,42272.242,42382.227
2016-05-03,44314.0,42272.242,41994.523
2016-05-04,39601.0,42272.242,41950.914
2016-05-05,40763.0,42272.242,41827.246
2016-05-06,43805.0,42272.242,43051.195
2016-05-07,54239.0,42272.242,45502.97
2016-05-08,45609.0,42272.242,44872.67
2016-05-09,46400.0,42272.242,42532.617
2016-05-10,39379.0,42272.242,42067.31
2016-05-11,42248.0,42272.242,41996.348
2016-05-12,40503.0,42272.242,42084.04
2016-05-13,44073.0,42272.242,43174.086
2016-05-14,54308.0,42272.242,45577.203
2016-05-15,59921.0,42272.242,45587.625
2016-05-16,42362.0,42272.242,42702.254
2016-05-17,38777.0,42272.242,42247.848
2016-05-18,37096.0,42272.242,42207.184
2016-05-19,36963.0,42272.242,42250.28
2016-05-20,42552.0,42272.242,43433.43
2016-05-21,51518.0,42272.242,45983.26
2016-05-22,54338.0,42272.242,45925.965
