date,units,estimated_revenue,year,week_of_year
2011-01-30,64380.0,160621.0906677246,2011,4
2011-02-06,196230.0,480539.5927286148,2011,5
2011-02-13,193715.0,514527.3832397461,2011,6
2011-02-20,172328.0,476669.833984375,2011,7
2011-02-27,166645.0,453052.2844238281,2011,8
2011-03-06,179283.0,490418.8530578613,2011,9
2011-03-13,181714.0,486865.48611450195,2011,10
2011-03-20,177597.0,475799.7130050659,2011,11
2011-03-27,164513.0,442406.5852355957,2011,12
2011-04-03,176545.0,470364.28493499756,2011,13
2011-04-10,182025.0,487439.24003601074,2011,14
2011-04-17,176125.0,479383.91581726074,2011,15
2011-04-24,159691.0,451271.2939147949,2011,16
2011-05-01,154072.0,436504.6411590576,2011,17
2011-05-08,165448.0,455815.105178833,2011,18
2011-05-15,177537.0,492428.75326538086,2011,19
2011-05-22,154287.0,434265.54804992676,2011,20
2011-05-29,151152.0,418967.17053222656,2011,21
2011-06-05,176634.0,492825.15643310547,2011,22
2011-06-12,188462.0,517245.2918243408,2011,23
2011-06-19,177514.0,486971.7455749512,2011,24
2011-06-26,169040.0,465050.6452636719,2011,25
2011-07-03,177030.0,478658.51404571533,2011,26
2011-07-10,194662.0,532474.3475036621,2011,27
2011-07-17,186668.0,518424.67890930176,2011,28
2011-07-24,177274.0,485185.0207672119,2011,29
2011-07-31,168009.0,466898.7165374756,2011,30
2011-08-07,193591.0,527467.4798736572,2011,31
2011-08-14,197309.0,536701.909866333,2011,32
2011-08-21,194069.0,519296.237197876,2011,33
2011-08-28,176567.0,483045.6432952881,2011,34
2011-09-04,180622.0,486716.1218261719,2011,35
2011-09-11,200693.0,555141.9175567627,2011,36
2011-09-18,191793.0,528870.5084991455,2011,37
2011-09-25,183097.0,498839.9892272949,2011,38
2011-10-02,198162.0,518700.63454437256,2011,39
2011-10-09,210403.0,551439.1361846924,2011,40
2011-10-16,214796.0,568367.3701477051,2011,41
2011-10-23,189794.0,506936.20766448975,2011,42
2011-10-30,184029.0,493637.46503448486,2011,43
2011-11-06,204814.0,540299.8192596436,2011,44
2011-11-13,205730.0,539068.5162811279,2011,45
2011-11-20,193321.0,512041.1044616699,2011,46
2011-11-27,176866.0,461375.00632476807,2011,47
2011-12-04,194253.0,507747.33601379395,2011,48
2011-12-11,208254.0,549614.1824798584,2011,49
2011-12-18,207633.0,551512.8090209961,2011,50
2011-12-25,172791.0,454254.33046764135,2011,51
2012-01-01,191225.0,506686.9776763916,2012,52
2012-01-08,220394.0,581361.0222015381,2012,1
2012-01-15,211342.0,556037.6334075928,2012,2
